"city","year","type","value"
"Manchester","2001","RCI",0.237478
"Manchester","2001","RCI",0.238036
"Manchester","2001","RCI",0.237777
"Manchester","2001","RCI",0.235742
"Manchester","2001","RCI",0.235636
"Manchester","2001","RCI",0.23581
"Manchester","2001","RCI",0.237662
"Manchester","2001","RCI",0.236385
"Manchester","2001","RCI",0.238505
"Manchester","2001","RCI",0.237926
"Manchester","2001","RCI",0.238045
"Manchester","2001","RCI",0.236719
"Manchester","2001","RCI",0.238484
"Manchester","2001","RCI",0.234306
"Manchester","2001","RCI",0.236638
"Manchester","2001","RCI",0.237695
"Manchester","2001","RCI",0.23711
"Manchester","2001","RCI",0.237298
"Manchester","2001","RCI",0.237903
"Manchester","2001","RCI",0.23517
"Manchester","2001","RCI",0.236916
"Manchester","2001","RCI",0.23661
"Manchester","2001","RCI",0.237861
"Manchester","2001","RCI",0.236172
"Manchester","2001","RCI",0.235901
"Manchester","2001","RCI",0.237771
"Manchester","2001","RCI",0.236622
"Manchester","2001","RCI",0.238214
"Manchester","2001","RCI",0.236858
"Manchester","2001","RCI",0.237511
"Manchester","2001","RCI",0.236543
"Manchester","2001","RCI",0.236156
"Manchester","2001","RCI",0.237402
"Manchester","2001","RCI",0.235479
"Manchester","2001","RCI",0.237464
"Manchester","2001","RCI",0.236271
"Manchester","2001","RCI",0.23718
"Manchester","2001","RCI",0.237302
"Manchester","2001","RCI",0.23867
"Manchester","2001","RCI",0.236578
"Manchester","2001","RCI",0.236812
"Manchester","2001","RCI",0.23573
"Manchester","2001","RCI",0.235625
"Manchester","2001","RCI",0.236866
"Manchester","2001","RCI",0.237027
"Manchester","2001","RCI",0.236699
"Manchester","2001","RCI",0.23586
"Manchester","2001","RCI",0.23561
"Manchester","2001","RCI",0.237479
"Manchester","2001","RCI",0.23775
"Manchester","2001","RCI",0.237929
"Manchester","2001","RCI",0.237228
"Manchester","2001","RCI",0.236957
"Manchester","2001","RCI",0.236239
"Manchester","2001","RCI",0.238472
"Manchester","2001","RCI",0.235196
"Manchester","2001","RCI",0.235576
"Manchester","2001","RCI",0.238436
"Manchester","2001","RCI",0.236214
"Manchester","2001","RCI",0.237647
"Manchester","2001","RCI",0.238513
"Manchester","2001","RCI",0.237342
"Manchester","2001","RCI",0.237321
"Manchester","2001","RCI",0.23694
"Manchester","2001","RCI",0.236494
"Manchester","2001","RCI",0.2366
"Manchester","2001","RCI",0.236791
"Manchester","2001","RCI",0.236737
"Manchester","2001","RCI",0.238852
"Manchester","2001","RCI",0.238253
"Manchester","2001","RCI",0.23709
"Manchester","2001","RCI",0.236201
"Manchester","2001","RCI",0.236302
"Manchester","2001","RCI",0.235721
"Manchester","2001","RCI",0.237821
"Manchester","2001","RCI",0.235136
"Manchester","2001","RCI",0.235818
"Manchester","2001","RCI",0.23772
"Manchester","2001","RCI",0.237146
"Manchester","2001","RCI",0.238998
"Manchester","2001","RCI",0.235753
"Manchester","2001","RCI",0.237927
"Manchester","2001","RCI",0.236657
"Manchester","2001","RCI",0.237378
"Manchester","2001","RCI",0.238786
"Manchester","2001","RCI",0.236675
"Manchester","2001","RCI",0.238075
"Manchester","2001","RCI",0.235859
"Manchester","2001","RCI",0.237129
