"city","year","type","value"
"Aberdeen",2001,"RCI",0.310534
"Aberdeen",2001,"RCI",0.297015
"Aberdeen",2001,"RCI",0.28924
"Aberdeen",2001,"RCI",0.308056
"Aberdeen",2001,"RCI",0.293211
"Aberdeen",2001,"RCI",0.302786
"Aberdeen",2001,"RCI",0.303763
"Aberdeen",2001,"RCI",0.302223
"Aberdeen",2001,"RCI",0.306987
"Aberdeen",2001,"RCI",0.304575
"Aberdeen",2001,"RCI",0.304227
"Aberdeen",2001,"RCI",0.29614
"Aberdeen",2001,"RCI",0.290246
"Aberdeen",2001,"RCI",0.3
"Aberdeen",2001,"RCI",0.30502
"Aberdeen",2001,"RCI",0.306589
"Aberdeen",2001,"RCI",0.29816
"Aberdeen",2001,"RCI",0.298956
"Aberdeen",2001,"RCI",0.310987
"Aberdeen",2001,"RCI",0.300614
"Aberdeen",2001,"RCI",0.304029
"Aberdeen",2001,"RCI",0.307135
"Aberdeen",2001,"RCI",0.302347
"Aberdeen",2001,"RCI",0.296765
"Aberdeen",2001,"RCI",0.296482
"Aberdeen",2001,"RCI",0.303318
"Aberdeen",2001,"RCI",0.297744
"Aberdeen",2001,"RCI",0.288938
"Aberdeen",2001,"RCI",0.302695
"Aberdeen",2001,"RCI",0.3048
"Aberdeen",2001,"RCI",0.308518
"Aberdeen",2001,"RCI",0.311485
"Aberdeen",2001,"RCI",0.294824
"Aberdeen",2001,"RCI",0.300283
"Aberdeen",2001,"RCI",0.297975
"Aberdeen",2001,"RCI",0.293385
"Aberdeen",2001,"RCI",0.317165
"Aberdeen",2001,"RCI",0.305811
"Aberdeen",2001,"RCI",0.30227
"Aberdeen",2001,"RCI",0.291881
"Aberdeen",2001,"RCI",0.290061
"Aberdeen",2001,"RCI",0.303957
"Aberdeen",2001,"RCI",0.301481
"Aberdeen",2001,"RCI",0.301153
"Aberdeen",2001,"RCI",0.297612
"Aberdeen",2001,"RCI",0.301458
"Aberdeen",2001,"RCI",0.298201
"Aberdeen",2001,"RCI",0.293432
"Aberdeen",2001,"RCI",0.299796
"Aberdeen",2001,"RCI",0.304477
"Aberdeen",2001,"RCI",0.312625
"Aberdeen",2001,"RCI",0.305289
"Aberdeen",2001,"RCI",0.295445
"Aberdeen",2001,"RCI",0.295699
"Aberdeen",2001,"RCI",0.303658
"Aberdeen",2001,"RCI",0.29988
"Aberdeen",2001,"RCI",0.298676
"Aberdeen",2001,"RCI",0.300466
"Aberdeen",2001,"RCI",0.297872
"Aberdeen",2001,"RCI",0.302233
"Aberdeen",2001,"RCI",0.301487
"Aberdeen",2001,"RCI",0.298598
"Aberdeen",2001,"RCI",0.297382
"Aberdeen",2001,"RCI",0.303313
"Aberdeen",2001,"RCI",0.307947
"Aberdeen",2001,"RCI",0.315022
"Aberdeen",2001,"RCI",0.300297
"Aberdeen",2001,"RCI",0.301847
"Aberdeen",2001,"RCI",0.307469
"Aberdeen",2001,"RCI",0.309867
"Aberdeen",2001,"RCI",0.304679
"Aberdeen",2001,"RCI",0.296558
"Aberdeen",2001,"RCI",0.29922
"Aberdeen",2001,"RCI",0.304953
"Aberdeen",2001,"RCI",0.302647
"Aberdeen",2001,"RCI",0.311131
"Aberdeen",2001,"RCI",0.310368
"Aberdeen",2001,"RCI",0.305851
"Aberdeen",2001,"RCI",0.301955
"Aberdeen",2001,"RCI",0.309536
"Aberdeen",2001,"RCI",0.305159
"Aberdeen",2001,"RCI",0.297741
"Aberdeen",2001,"RCI",0.303194
"Aberdeen",2001,"RCI",0.301526
"Aberdeen",2001,"RCI",0.293818
"Aberdeen",2001,"RCI",0.302267
"Aberdeen",2001,"RCI",0.301914
"Aberdeen",2001,"RCI",0.308817
"Aberdeen",2001,"RCI",0.296177
"Aberdeen",2001,"RCI",0.296711
"Aberdeen",2001,"RCI",0.292576
"Aberdeen",2001,"RCI",0.296531
"Aberdeen",2001,"RCI",0.289048
"Aberdeen",2001,"RCI",0.296951
"Aberdeen",2001,"RCI",0.301795
"Aberdeen",2001,"RCI",0.298774
"Aberdeen",2001,"RCI",0.306787
"Aberdeen",2001,"RCI",0.307818
"Aberdeen",2001,"RCI",0.296253
"Aberdeen",2001,"RCI",0.301061
"Aberdeen",2001,"RCI",0.302575
"Aberdeen",2001,"RCI",0.306345
"Aberdeen",2001,"RCI",0.29211
"Aberdeen",2001,"RCI",0.307681
"Aberdeen",2001,"RCI",0.292741
"Aberdeen",2001,"RCI",0.301276
"Aberdeen",2001,"RCI",0.299883
"Aberdeen",2001,"RCI",0.294432
"Aberdeen",2001,"RCI",0.303399
"Aberdeen",2001,"RCI",0.297488
"Aberdeen",2001,"RCI",0.296466
"Aberdeen",2001,"RCI",0.301862
"Aberdeen",2001,"RCI",0.298691
"Aberdeen",2001,"RCI",0.305004
"Aberdeen",2001,"RCI",0.300539
"Aberdeen",2001,"RCI",0.293262
"Aberdeen",2001,"RCI",0.296246
"Aberdeen",2001,"RCI",0.300941
"Aberdeen",2001,"RCI",0.296162
"Aberdeen",2001,"RCI",0.297269
"Aberdeen",2001,"RCI",0.3072
"Aberdeen",2001,"RCI",0.29722
"Aberdeen",2001,"RCI",0.300142
"Aberdeen",2001,"RCI",0.309238
"Aberdeen",2001,"RCI",0.304375
"Aberdeen",2001,"RCI",0.306912
"Aberdeen",2001,"RCI",0.299423
"Aberdeen",2001,"RCI",0.307317
"Aberdeen",2001,"RCI",0.30073
"Aberdeen",2001,"RCI",0.310045
"Aberdeen",2001,"RCI",0.297216
"Aberdeen",2001,"RCI",0.308328
"Aberdeen",2001,"RCI",0.302802
"Aberdeen",2001,"RCI",0.303906
"Aberdeen",2001,"RCI",0.301254
"Aberdeen",2001,"RCI",0.291791
"Aberdeen",2001,"RCI",0.304962
"Aberdeen",2001,"RCI",0.303178
"Aberdeen",2001,"RCI",0.292131
"Aberdeen",2001,"RCI",0.288025
"Aberdeen",2001,"RCI",0.293844
"Aberdeen",2001,"RCI",0.300473
"Aberdeen",2001,"RCI",0.300555
"Aberdeen",2001,"RCI",0.295971
"Aberdeen",2001,"RCI",0.305978
"Aberdeen",2001,"RCI",0.29687
"Aberdeen",2001,"RCI",0.298693
"Aberdeen",2001,"RCI",0.30304
"Aberdeen",2001,"RCI",0.303336
"Aberdeen",2001,"RCI",0.296031
"Aberdeen",2001,"RCI",0.298293
"Aberdeen",2001,"RCI",0.293695
"Aberdeen",2001,"RCI",0.301012
"Aberdeen",2001,"RCI",0.302072
"Aberdeen",2001,"RCI",0.301722
"Aberdeen",2001,"RCI",0.302865
"Aberdeen",2001,"RCI",0.291516
"Aberdeen",2001,"RCI",0.299801
"Aberdeen",2001,"RCI",0.290121
"Aberdeen",2001,"RCI",0.294356
"Aberdeen",2001,"RCI",0.298844
"Aberdeen",2001,"RCI",0.305501
"Aberdeen",2001,"RCI",0.299867
"Aberdeen",2001,"RCI",0.30025
"Aberdeen",2001,"RCI",0.303447
"Aberdeen",2001,"RCI",0.301898
"Aberdeen",2001,"RCI",0.298793
"Aberdeen",2001,"RCI",0.300468
"Aberdeen",2001,"RCI",0.306839
"Aberdeen",2001,"RCI",0.298308
"Aberdeen",2001,"RCI",0.304977
"Aberdeen",2001,"RCI",0.293428
"Aberdeen",2001,"RCI",0.308139
"Aberdeen",2001,"RCI",0.304798
"Aberdeen",2001,"RCI",0.295633
"Aberdeen",2001,"RCI",0.299732
"Aberdeen",2001,"RCI",0.295449
"Aberdeen",2001,"RCI",0.297233
"Aberdeen",2001,"RCI",0.313205
"Aberdeen",2001,"RCI",0.304078
"Aberdeen",2001,"RCI",0.298622
"Aberdeen",2001,"RCI",0.297259
"Aberdeen",2001,"RCI",0.300998
"Aberdeen",2001,"RCI",0.293757
"Aberdeen",2001,"RCI",0.290025
"Aberdeen",2001,"RCI",0.294621
"Aberdeen",2001,"RCI",0.289741
"Aberdeen",2001,"RCI",0.297488
"Aberdeen",2001,"RCI",0.302527
"Aberdeen",2001,"RCI",0.313923
"Aberdeen",2001,"RCI",0.296332
"Aberdeen",2001,"RCI",0.297251
"Aberdeen",2001,"RCI",0.301333
"Aberdeen",2001,"RCI",0.302352
"Aberdeen",2001,"RCI",0.291826
"Aberdeen",2001,"RCI",0.304388
"Aberdeen",2001,"RCI",0.295713
"Aberdeen",2001,"RCI",0.296255
"Aberdeen",2001,"RCI",0.302077
"Aberdeen",2001,"RCI",0.299609
"Aberdeen",2001,"RCI",0.293908
"Aberdeen",2001,"RCI",0.290061
"Aberdeen",2001,"RCI",0.295109
"Aberdeen",2001,"RCI",0.298333
"Aberdeen",2001,"RCI",0.306405
"Aberdeen",2001,"RCI",0.301813
"Aberdeen",2001,"RCI",0.297055
"Aberdeen",2001,"RCI",0.297217
"Aberdeen",2001,"RCI",0.295277
"Aberdeen",2001,"RCI",0.300296
"Aberdeen",2001,"RCI",0.299679
"Aberdeen",2001,"RCI",0.291341
"Aberdeen",2001,"RCI",0.298806
"Aberdeen",2001,"RCI",0.296229
"Aberdeen",2001,"RCI",0.301385
"Aberdeen",2001,"RCI",0.299662
"Aberdeen",2001,"RCI",0.302503
"Aberdeen",2001,"RCI",0.293947
"Aberdeen",2001,"RCI",0.29657
"Aberdeen",2001,"RCI",0.296851
"Aberdeen",2001,"RCI",0.307599
"Aberdeen",2001,"RCI",0.305792
"Aberdeen",2001,"RCI",0.302422
"Aberdeen",2001,"RCI",0.299574
"Aberdeen",2001,"RCI",0.307744
"Aberdeen",2001,"RCI",0.301928
"Aberdeen",2001,"RCI",0.30015
"Aberdeen",2001,"RCI",0.303984
"Aberdeen",2001,"RCI",0.300109
"Aberdeen",2001,"RCI",0.296594
"Aberdeen",2001,"RCI",0.296051
"Aberdeen",2001,"RCI",0.300978
"Aberdeen",2001,"RCI",0.301486
"Aberdeen",2001,"RCI",0.304778
"Aberdeen",2001,"RCI",0.295758
"Aberdeen",2001,"RCI",0.295417
"Aberdeen",2001,"RCI",0.301186
"Aberdeen",2001,"RCI",0.298498
"Aberdeen",2001,"RCI",0.296529
"Aberdeen",2001,"RCI",0.294919
"Aberdeen",2001,"RCI",0.305313
"Aberdeen",2001,"RCI",0.304611
"Aberdeen",2001,"RCI",0.300475
"Aberdeen",2001,"RCI",0.289906
"Aberdeen",2001,"RCI",0.294518
"Aberdeen",2001,"RCI",0.303703
"Aberdeen",2001,"RCI",0.297566
"Aberdeen",2001,"RCI",0.308343
"Aberdeen",2001,"RCI",0.295192
"Aberdeen",2001,"RCI",0.292473
"Aberdeen",2001,"RCI",0.30721
"Aberdeen",2001,"RCI",0.304734
"Aberdeen",2001,"RCI",0.302249
"Aberdeen",2001,"RCI",0.3089
"Aberdeen",2001,"RCI",0.302919
"Aberdeen",2001,"RCI",0.301776
"Aberdeen",2001,"RCI",0.304829
"Aberdeen",2001,"RCI",0.304777
"Aberdeen",2001,"RCI",0.300584
"Aberdeen",2001,"RCI",0.295074
"Aberdeen",2001,"RCI",0.288114
"Aberdeen",2001,"RCI",0.294498
"Aberdeen",2001,"RCI",0.301743
"Aberdeen",2001,"RCI",0.301337
"Aberdeen",2001,"RCI",0.303237
"Aberdeen",2001,"RCI",0.29294
"Aberdeen",2001,"RCI",0.300574
"Aberdeen",2001,"RCI",0.305618
"Aberdeen",2001,"RCI",0.30371
"Aberdeen",2001,"RCI",0.297125
"Aberdeen",2001,"RCI",0.306175
"Aberdeen",2001,"RCI",0.311308
"Aberdeen",2001,"RCI",0.295111
"Aberdeen",2001,"RCI",0.303384
"Aberdeen",2001,"RCI",0.303922
"Aberdeen",2001,"RCI",0.296297
"Aberdeen",2001,"RCI",0.293674
"Aberdeen",2001,"RCI",0.305138
"Aberdeen",2001,"RCI",0.299339
"Aberdeen",2001,"RCI",0.304315
"Aberdeen",2001,"RCI",0.299805
"Aberdeen",2001,"RCI",0.307812
