"city","year","type","value"
"Edinburgh","2001","RCI",0.137459
"Edinburgh","2001","RCI",0.143302
"Edinburgh","2001","RCI",0.134469
"Edinburgh","2001","RCI",0.134126
"Edinburgh","2001","RCI",0.134644
"Edinburgh","2001","RCI",0.132176
"Edinburgh","2001","RCI",0.136426
"Edinburgh","2001","RCI",0.134355
"Edinburgh","2001","RCI",0.136132
"Edinburgh","2001","RCI",0.131633
"Edinburgh","2001","RCI",0.135143
"Edinburgh","2001","RCI",0.13322
"Edinburgh","2001","RCI",0.123937
"Edinburgh","2001","RCI",0.131339
"Edinburgh","2001","RCI",0.134171
"Edinburgh","2001","RCI",0.138583
"Edinburgh","2001","RCI",0.141188
"Edinburgh","2001","RCI",0.137392
"Edinburgh","2001","RCI",0.141909
"Edinburgh","2001","RCI",0.13566
"Edinburgh","2001","RCI",0.142095
"Edinburgh","2001","RCI",0.133296
"Edinburgh","2001","RCI",0.137655
"Edinburgh","2001","RCI",0.1381
"Edinburgh","2001","RCI",0.135796
"Edinburgh","2001","RCI",0.13688
"Edinburgh","2001","RCI",0.133012
"Edinburgh","2001","RCI",0.134928
"Edinburgh","2001","RCI",0.136938
"Edinburgh","2001","RCI",0.133779
"Edinburgh","2001","RCI",0.137363
"Edinburgh","2001","RCI",0.1351
"Edinburgh","2001","RCI",0.137896
"Edinburgh","2001","RCI",0.1324
"Edinburgh","2001","RCI",0.135579
"Edinburgh","2001","RCI",0.134194
"Edinburgh","2001","RCI",0.134007
"Edinburgh","2001","RCI",0.138434
"Edinburgh","2001","RCI",0.137251
"Edinburgh","2001","RCI",0.134511
"Edinburgh","2001","RCI",0.133148
"Edinburgh","2001","RCI",0.138349
"Edinburgh","2001","RCI",0.136363
"Edinburgh","2001","RCI",0.141123
"Edinburgh","2001","RCI",0.135019
"Edinburgh","2001","RCI",0.144726
"Edinburgh","2001","RCI",0.133052
"Edinburgh","2001","RCI",0.139067
"Edinburgh","2001","RCI",0.142172
"Edinburgh","2001","RCI",0.14075
"Edinburgh","2001","RCI",0.143788
"Edinburgh","2001","RCI",0.136802
"Edinburgh","2001","RCI",0.134723
"Edinburgh","2001","RCI",0.133147
"Edinburgh","2001","RCI",0.136773
"Edinburgh","2001","RCI",0.139907
"Edinburgh","2001","RCI",0.139722
"Edinburgh","2001","RCI",0.135398
"Edinburgh","2001","RCI",0.143915
"Edinburgh","2001","RCI",0.138373
"Edinburgh","2001","RCI",0.137854
"Edinburgh","2001","RCI",0.137862
"Edinburgh","2001","RCI",0.137544
"Edinburgh","2001","RCI",0.141895
"Edinburgh","2001","RCI",0.141651
"Edinburgh","2001","RCI",0.136201
"Edinburgh","2001","RCI",0.137368
"Edinburgh","2001","RCI",0.13451
"Edinburgh","2001","RCI",0.128931
"Edinburgh","2001","RCI",0.132502
"Edinburgh","2001","RCI",0.134978
"Edinburgh","2001","RCI",0.137359
"Edinburgh","2001","RCI",0.138885
"Edinburgh","2001","RCI",0.145144
"Edinburgh","2001","RCI",0.139395
"Edinburgh","2001","RCI",0.138893
"Edinburgh","2001","RCI",0.14006
"Edinburgh","2001","RCI",0.13829
"Edinburgh","2001","RCI",0.135855
"Edinburgh","2001","RCI",0.135624
"Edinburgh","2001","RCI",0.136799
"Edinburgh","2001","RCI",0.132233
